Cobertura_dossel;Inclinacao;Densidade_For;CAP;DAP;H;HF;PROF_COPA;DIAM_COPA
32,3;2,1;2;60,5;19,3;8,5;4,25;4,25;3,25
27,96;0,9;3;61;19,4;7,5;2,625;4,875;4,875
36,9;1,4;1;45;14,3;8;5;3;4
32,08;5;1;60;19,1;8;1,4;6,6;4
32,08;5;4;60;19,1;8;2,18;5,82;4,2
23,48;1,6;3;61,6;19,6;8;5,4;2,6;4,5
26,86;0,7;3;72,8;23,2;7,6;4,6;3;6,4
19,76;5,6;12;52,875;16,8;9,75;4,0125;5,7375;3,916666667
32,07;1,5;3;49;15,6;11,33333333;3,333333333;8;4,166666667
51,4;2,3;5;53,57142857;17,1;11,71428571;9,285714286;2,428571429;4,571428571
42,62;1,1;3;46,33333333;14,7;11;4,5;6,5;4,666666667
20,83;1,6;2;47,5;15,1;11;5,5;5,5;3,25
48,73;0,4;4;46;14,6;12,2;7,8;4,4;4,4
12,2;5,1;3;56,4;18;11,2;2,4;8,8;5,2
13,98;5,5;1;58;18,5;12;10;2;6,5
18,74;11,9;4;49,55555556;15,8;10,88888889;3;7,888888889;4,055555556
15,83;1,3;2;46,54545455;14,8;10;2,818181818;7,181818182;7,045454545
28,16;7,2;5;53;16,9;10;1,772727273;8,227272727;5,863636364
37,8;2;1;52;16,6;12;3;9;5
9,19;2,2;2;61,66666667;19,6;11,33333333;4,333333333;7;3,666666667
36,87;2;4;58,22222222;18,5;8,888888889;4,944444444;3,944444444;2,5
35,47;1,7;1;51;16,2;8;1,5;6,5;5
41,26;5,1;3;62,2;19,8;9,4;2,1;7,3;7,4
13,75;2,6;5;55,7;17,7;6;2,1;3,9;3,3
10,25;3,7;3;52,72727273;16,8;7;3,727272727;3,272727273;2,727272727
20,34;6;3;54;17,2;8,4;2,6;5,8;3,2
13,37;2;2;50;15,9;6,333333333;3;3,333333333;3,166666667
25,04;3;2;59;18,8;8;3,5;4,5;3,5
16,24;0,6;1;60;19,1;6;2;4;1,8125
11,98;1,1;2;73,57142857;23,4;7,428571429;2,857142857;4,571428571;3,285714286
10,3;3,7;4;64,76923077;20,6;8,076923077;2,384615385;5,692307692;4,692307692
5,8;6,3;5;53;16,9;9,714285714;5,714285714;4;2,785714286
3,25;3,2;6;63,56521739;20,2;8;4,260869565;3,739130435;2,586956522
9,54;3,2;3;55;17,5;9,454545455;7,181818182;2,272727273;4,318181818
30,69;3,4;2;73,33333333;23,3;7,666666667;5;2,666666667;4,666666667
21;10,4;5;53;16,9;9,176470588;4,941176471;4,235294118;3,352941176
16,67;3;3;56,30769231;17,9;8,230769231;5,461538462;2,769230769;1,730769231
29,42;2,1;4;60,75;19,3;9,1875;6,9375;2,25;3,53125
21,57;3,2;4;55,53846154;17,7;7,384615385;3,538461538;3,846153846;1,653846154
67,6;2,1;4;98,5;31,4;12,25;2,5;10,375;6,5
55,77;2,4;8;114,625;36,5;16,5625;5,8125;10,75;2,8125
22,35;0,3;3;149,6666667;47,6;13,33333333;2,333333333;11;1,333333333
77,91;7,6;5;106,8;34;24;5,625;19,5;6,2
65,5;3,6;4;69,5;22,1;26,75;2,5;24,25;8,375
82,26;0,6;4;72;22,9;16,75;7,75;9;7,75
40,85;3,3;4;109,5;34,9;17,25;15,75;1,5;4,625
39,6;1,2;3;77,66666667;24,7;15;3,166666667;11,83333333;6
67,7;1,7;5;61,8;19,7;14;6,76;7,24;3,8
49,43;2;1;52;16,6;3;1;2;0
59,08;27;3;96,3;30,7;21,6;10,8;10,8;5
33,83;43;4;58,5;18,6;25;17,3;7,7;4
3,36;19;4;61,7;19,6;22,5;12;10,5;6,125
46,58;26;6;66,6;21,2;25,8;19,7;6,2;7,5
30,46;23;3;78,7;25,1;19,3;4,5;14,8;16,7
15,78;16;3;56,3;17,9;15,3;12;3,3;5,8
26,94;30;5;55,6;17,7;20,4;9,8;10,6;7,6
32,61;41;1;55;17,5;20;18;2;7,5
40,6;22;2;82;26,1;20;15;5;8,75
43,21;16;4;67;21,3;15,75;3,875;11,875;5
55,19;40;3;74,7;23,8;21,7;15;6,7;4,3
28,38;32;4;107,25;34,1;21,25;7,75;13,5;9,125
24,79;35;2;69;22;22,5;17,5;5;6
73,92;19;5;129,4;41,2;16,6;10,4;6,2;6,6
36,21;22;6;114,3;36,4;19,17;10,67;8,5;6,1
37,69;23;5;167,4;53,3;31;19,8;11,2;10,4
27,79;32;5;117;37,2;22,6;14,12;8,5;5,2
20,33;39;2;194;61,8;27,5;20;7,5;7
52,3;28;6;112,17;35,7;24;12,8;11,17;8,1
27,99;11;3;188,6666667;60,1;21,66666667;10,7;11;8,17
10,2;25;5;140,6;44,8;28;14;14;9,7
43,76;47;4;135,25;43,1;25;17,5;7,5;11,875
50,41;23;4;97,25;31;18,75;13,75;5;5,125
40,14;22;5;152,8;48,6;34;23;11;10
48,45;32;1;112;35,7;25;20;5;7
29,08;34;3;102,6666667;32,7;25,66666667;17;8,7;6,17
