Segmento;Parcela;Orientacao;S;Abd
1;1;SO;2;4
2;1;SO;3;17
3;1;SO;1;1
4;1;SO;2;7
5;1;SO;2;10
6;1;SO;3;19
7;1;S;2;6
8;1;S;7;64
9;1;SO;1;6
10;1;SO;4;25
11;1;SO;1;1
12;1;SO;1;9
13;1;SO;2;15
14;1;SO;3;15
15;1;SO;2;2
16;1;S;5;23
17;1;S;8;23
18;1;SO;7;38
19;1;SO;2;8
20;1;SO;6;17
21;1;SO;4;39
22;1;S;1;2
23;1;S;5;26
24;1;S;4;4
25;1;S;4;14
26;1;S;1;2
27;2;S;3;6
28;2;SO;5;30
29;2;SO;4;14
30;2;S;3;19
31;2;S;5;23
32;2;SO;4;10
33;2;SO;8;59
34;2;S;4;9
35;2;S;2;5
36;2;S;7;31
37;2;S;4;23
38;2;SO;5;20
39;2;SO;6;21
40;3;O;4;24
41;3;O;6;59
42;3;O;5;16
43;3;SO;5;38
44;3;N;6;15
45;3;S;3;5
46;3;NO;5;13
47;3;SO;5;5
48;3;SO;7;20
51;3;SO;1;2
53;4;SE;1;1
54;4;SE;1;1
55;4;SE;5;14
56;4;SE;6;17
57;4;SE;3;13
58;4;S;5;18
59;4;SE;7;39
60;4;SE;5;9
61;4;SE;7;23
62;4;S;6;22
63;4;L;4;8
64;4;SE;5;7
65;4;L;2;2
66;5;S;8;24
67;5;SE;11;34
68;5;L;4;7
69;5;S;5;14
70;5;S;13;51
71;5;L;11;39
72;5;SE;7;23
73;5;SE;6;36
74;5;S;4;27
75;5;SE;16;69
76;5;SE;14;57
77;5;SE;1;14
78;5;L;8;42
